epc,read_events,first_seen,last_seen,strongest_rssi,likely_demo_e280,recommendation
123456789012345678901234,10,2026-04-28 21:49:31.836996,2026-05-15 23:18:46.549615,-42,False,Review with EPC decoder and map to SKU/GTIN if real
E200001C430102632190EB83,9,2026-04-28 21:49:31.794758,2026-05-14 19:03:42.725369,-47,False,Review with EPC decoder and map to SKU/GTIN if real
000000000000000000000102,8,2026-04-28 21:49:32.820213,2026-05-14 19:03:43.022877,-56,False,Review with EPC decoder and map to SKU/GTIN if real
00000000000000000A101907,8,2026-04-28 21:49:31.843328,2026-05-14 19:03:43.116557,-64,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201743A021902,8,2026-04-28 21:49:31.812406,2026-04-28 21:49:38.108997,-57,False,Review with EPC decoder and map to SKU/GTIN if real
E2801191A503006B3ABB8751,8,2026-04-28 21:49:32.823994,2026-05-14 19:03:43.044252,-63,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABBA6C2,8,2026-04-28 21:49:31.307606,2026-05-14 19:03:42.920649,-46,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
000000000000000000E40148,7,2026-04-28 21:49:31.806039,2026-05-14 19:03:42.839880,-61,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201556A020102,7,2026-04-28 21:49:33.375777,2026-05-14 19:03:42.746882,-31,False,Review with EPC decoder and map to SKU/GTIN if real
E28011606000020529FC918C,7,2026-04-28 21:49:31.796201,2026-05-14 19:03:42.838332,-63,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006540B9AD31,7,2026-04-28 21:49:33.394107,2026-05-15 23:18:56.888301,-61,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB67C4,7,2026-04-28 21:49:33.422566,2026-05-15 23:18:59.607689,-55,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB88C9,7,2026-04-28 21:49:33.443485,2026-05-14 19:03:42.714620,-53,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABBA6C0,7,2026-04-28 21:49:31.311696,2026-05-14 19:03:42.911417,-54,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABBA6C7,7,2026-04-28 21:49:33.471290,2026-05-14 19:03:42.696895,-58,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABBA6C8,7,2026-04-28 21:49:31.310755,2026-05-14 19:03:42.735735,-48,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABBC6C5,7,2026-04-28 21:49:31.306731,2026-05-14 19:03:42.805852,-49,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
00000000000000000A101905,6,2026-04-28 21:49:34.086517,2026-05-14 19:03:43.111722,-55,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201212A021902,6,2026-04-28 21:49:33.473057,2026-05-14 19:03:42.774751,-47,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201610A020102,6,2026-04-28 21:49:33.390144,2026-05-14 19:03:42.889387,-47,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201611A020802,6,2026-04-28 21:49:33.388162,2026-05-14 19:03:42.939869,-44,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201629A021102,6,2026-04-28 21:49:33.471892,2026-05-14 19:03:42.890876,-43,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201630A021802,6,2026-04-28 21:49:33.456655,2026-05-14 19:03:42.887579,-43,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201652A020102,6,2026-04-28 21:49:33.457316,2026-05-14 19:03:42.987053,-43,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201653A020802,6,2026-04-28 21:49:33.374294,2026-05-14 19:03:42.745927,-32,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201655A020902,6,2026-04-28 21:49:33.379218,2026-05-14 19:03:42.792418,-46,False,Review with EPC decoder and map to SKU/GTIN if real
A02A061028A201656A021002,6,2026-04-28 21:49:33.386718,2026-05-14 19:03:42.798494,-45,False,Review with EPC decoder and map to SKU/GTIN if real
E2801191A503006B3ABB4790,6,2026-04-28 21:49:33.462727,2026-05-14 19:03:42.711273,-61,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB4799,6,2026-04-28 21:49:33.452860,2026-05-14 19:03:42.917317,-54,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB65CF,6,2026-04-28 21:49:33.465202,2026-05-14 19:03:43.033329,-51,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB67C9,6,2026-04-28 21:49:33.413328,2026-05-14 19:03:43.013301,-57,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB67CC,6,2026-04-28 21:49:33.410901,2026-05-14 19:03:43.002319,-46,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB68A1,6,2026-04-28 21:49:33.492678,2026-05-14 19:03:42.847361,-62,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
E2801191A503006B3ABB85C9,6,2026-04-28 21:49:33.495990,2026-05-14 19:03:42.902283,-59,True,"Likely local/demo E280 tag; verify physically, then destroy/remove if not attached to a real item"
